"route","issue","matches","matchCount","sample","action"
"/24h-umzugsservice","DUPLICATE_TITLE","/signature/24h-umzugsservice","1","kurzfristigen umzug anfragen floxant","MANUAL_REVIEW"
"/404","DUPLICATE_TITLE","/_not-found","1","floxant umzug reinigung entrumpelung in regensburg","MANUAL_REVIEW"
"/buerokratie-schutz","DUPLICATE_TITLE","/signature/buerokratie-schutz","1","burokratie schutz behordliche formalitaten delegieren","MANUAL_REVIEW"
"/clean-start","DUPLICATE_TITLE","/signature/clean-start","1","clean start ceremony ihr neues zuhause bewusst beziehen","MANUAL_REVIEW"
"/damen-team","DUPLICATE_TITLE","/signature/damen-team","1","damen team umzug durch ein reines frauenteam","MANUAL_REVIEW"
"/endreinigung-regensburg","DUPLICATE_TITLE","/seniorenumzug","1","floxant regensburg umzug reinigung entrumpelung","MANUAL_REVIEW"
"/entsorgung-duesseldorf","DUPLICATE_TITLE","/duesseldorf/entsorgung","1","entsorgung dusseldorf mobel sperrmull abholung floxant","MANUAL_REVIEW"
"/erinnerungskapsel","DUPLICATE_TITLE","/signature/erinnerungskapsel","1","erinnerungskapsel momente bewahren beim umzug","MANUAL_REVIEW"
"/first-48h","DUPLICATE_TITLE","/signature/first-48h","1","first 48h package die ersten zwei tage sorgenfrei","MANUAL_REVIEW"
"/kinder-umzugsbox","DUPLICATE_TITLE","/signature/kinder-umzugsbox","1","kinder umzugsbox umzug kindgerecht begleiten","MANUAL_REVIEW"
"/lager-rotation","DUPLICATE_TITLE","/signature/lager-rotation","1","lager rotation flexibles zwischenlager fur ihren umzug","MANUAL_REVIEW"
"/moebel-optimierung","DUPLICATE_TITLE","/signature/moebel-optimierung","1","mobel optimierung raumplanung nach dem umzug","MANUAL_REVIEW"
"/new-neighbour-kit","DUPLICATE_TITLE","/signature/new-neighbour-kit","1","new neighbour kit professionelle nachbarschaftsintroduktion","MANUAL_REVIEW"
"/reinigungsgarantie","DUPLICATE_TITLE","/signature/reinigungsgarantie","1","reinigung fur die wohnungsubergabe floxant","MANUAL_REVIEW"
"/ritual-exit-box","DUPLICATE_TITLE","/signature/ritual-exit-box","1","ritual exit box bewusster abschied vom alten zuhause","MANUAL_REVIEW"
"/vielleicht-box","DUPLICATE_TITLE","/signature/vielleicht-box","1","die vielleicht box entscheidungshilfe beim umzug","MANUAL_REVIEW"
"/guenstig/entsorgung-duesseldorf","DUPLICATE_TITLE","/angebote/entsorgung-duesseldorf-kosten","1","entsorgung preisrahmen in dusseldorf floxant","MANUAL_REVIEW"
"/guenstig/entsorgung-muenchen","DUPLICATE_TITLE","/angebote/entsorgung-muenchen-kosten","1","entsorgung preisrahmen in munchen floxant","MANUAL_REVIEW"
"/guenstig/entsorgung-nuernberg","DUPLICATE_TITLE","/angebote/entsorgung-nuernberg-kosten","1","entsorgung preisrahmen in nurnberg floxant","MANUAL_REVIEW"
"/guenstig/entsorgung-regensburg","DUPLICATE_TITLE","/angebote/entsorgung-regensburg-kosten","1","entsorgung preisrahmen in regensburg floxant","MANUAL_REVIEW"
"/guenstig/reinigung-duesseldorf","DUPLICATE_TITLE","/angebote/reinigung-duesseldorf-kosten","1","reinigung preisrahmen in dusseldorf floxant","MANUAL_REVIEW"
"/guenstig/reinigung-muenchen","DUPLICATE_TITLE","/angebote/reinigung-muenchen-kosten","1","reinigung preisrahmen in munchen floxant","MANUAL_REVIEW"
"/guenstig/reinigung-nuernberg","DUPLICATE_TITLE","/angebote/reinigung-nuernberg-kosten","1","reinigung preisrahmen in nurnberg floxant","MANUAL_REVIEW"
"/guenstig/reinigung-regensburg","DUPLICATE_TITLE","/angebote/reinigung-regensburg-kosten","1","reinigung preisrahmen in regensburg floxant","MANUAL_REVIEW"
"/guenstig/umzug-duesseldorf","DUPLICATE_TITLE","/angebote/umzug-duesseldorf-kosten","1","umzug preisrahmen in dusseldorf floxant","MANUAL_REVIEW"
"/guenstig/umzug-muenchen","DUPLICATE_TITLE","/angebote/umzug-muenchen-kosten","1","umzug preisrahmen in munchen floxant","MANUAL_REVIEW"
"/guenstig/umzug-nuernberg","DUPLICATE_TITLE","/angebote/umzug-nuernberg-kosten","1","umzug preisrahmen in nurnberg floxant","MANUAL_REVIEW"
"/guenstig/umzug-regensburg","DUPLICATE_TITLE","/angebote/umzug-regensburg-kosten","1","umzug preisrahmen in regensburg floxant","MANUAL_REVIEW"
"/alternativen/reinigungsfirma-regensburg","DUPLICATE_TITLE","/alternativen/umzugsfirma-regensburg|/alternativen/umzugsunternehmen-regensburg","2","floxant vergleich in regensburg ablauf preisrahmen service","MANUAL_REVIEW"
"/24h-umzugsservice","DUPLICATE_H1","/signature/24h-umzugsservice","1","kurzfristigen umzug anfragen","MANUAL_REVIEW"
"/404","DUPLICATE_H1","/_not-found","1","diese seite ist nicht mehr an der erwarteten stelle","MANUAL_REVIEW"
"/buerokratie-schutz","DUPLICATE_H1","/signature/buerokratie-schutz","1","burokratie schutz","MANUAL_REVIEW"
"/clean-start","DUPLICATE_H1","/signature/clean-start","1","clean start ceremony","MANUAL_REVIEW"
"/damen-team","DUPLICATE_H1","/signature/damen-team","1","damen team","MANUAL_REVIEW"
"/entruempelung-regensburg","DUPLICATE_H1","/entruempelung-wuerzburg","1","entrumpelung","MANUAL_REVIEW"
"/entsorgung-duesseldorf","DUPLICATE_H1","/duesseldorf/entsorgung","1","entsorgung dusseldorf fur mobel sperrmull und kleinere raumungen","MANUAL_REVIEW"
"/erinnerungskapsel","DUPLICATE_H1","/signature/erinnerungskapsel","1","erinnerungskapsel","MANUAL_REVIEW"
"/first-48h","DUPLICATE_H1","/signature/first-48h","1","first 48h package","MANUAL_REVIEW"
"/kinder-umzugsbox","DUPLICATE_H1","/signature/kinder-umzugsbox","1","kinder umzugsbox","MANUAL_REVIEW"
"/lager-rotation","DUPLICATE_H1","/signature/lager-rotation","1","lager rotation","MANUAL_REVIEW"
"/moebel-optimierung","DUPLICATE_H1","/signature/moebel-optimierung","1","mobel optimierung","MANUAL_REVIEW"
"/new-neighbour-kit","DUPLICATE_H1","/signature/new-neighbour-kit","1","new neighbour kit","MANUAL_REVIEW"
"/reinigungsgarantie","DUPLICATE_H1","/signature/reinigungsgarantie","1","reinigung fur die ubergabe","MANUAL_REVIEW"
"/ritual-exit-box","DUPLICATE_H1","/signature/ritual-exit-box","1","ritual exit box","MANUAL_REVIEW"
"/vielleicht-box","DUPLICATE_H1","/signature/vielleicht-box","1","die vielleicht box","MANUAL_REVIEW"
"/24h-umzugsservice","DUPLICATE_META_DESCRIPTION","/signature/24h-umzugsservice","1","kurzfristigen umzug in bayern anfragen floxant pruft wunschtermin umfang zugange und verfugbare kapazitat fotos termin umfang und preisrahmen direkt senden und machbarkeit prufen l","MANUAL_REVIEW"
"/404","DUPLICATE_META_DESCRIPTION","/_not-found","1","umzug reinigung entrumpelung und ubergabe in regensburg floxant bundelt transport endreinigung raumung und zusatzleistungen fotos termin umfang und preisrahmen direkt senden und ma","MANUAL_REVIEW"
"/akteneinlagerung-regensburg","DUPLICATE_META_DESCRIPTION","/beiladung-regensburg|/einlagerung|/endreinigung-regensburg|/kleintransporte|/malerarbeiten|/seniorenumzug","6","umzug reinigung entrumpelung und ubergabe in dusseldorf und regensburg aufwand realistisch prufen direkt anfragen und sauber planen","MANUAL_REVIEW"
"/buerokratie-schutz","DUPLICATE_META_DESCRIPTION","/signature/buerokratie-schutz","1","der floxant burokratie schutz ubernimmt die behordlichen formalitaten rund um ihren umzug zugang und parken ummeldung nachsendeauftrag","MANUAL_REVIEW"
