"file","line","issue","severity","detail"
"app/error.tsx","53","TOUCH_TARGET_REVIEW","warning"," <Link href=""/"" className=""mt-8 inline-flex w-fit items-center gap-2 text-sm font-bold text-primary"">"
"app/error.tsx","53","FOCUS_STYLE_REVIEW","warning"," <Link href=""/"" className=""mt-8 inline-flex w-fit items-center gap-2 text-sm font-bold text-primary"">"
"app/globals.css","3453","REDUCED_MOTION_REVIEW","warning"," transition-duration: 0.01ms !important;"
"app/not-found.tsx","34","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-14 items-center gap-3 rounded-lg border border-border bg-card px-4 py-3 text-sm font-bold text-card-foreground transition hover:border-primary/50 hover:text-primary"""
"app/page.tsx","199","REDUCED_MOTION_REVIEW","warning"," ""inline-flex min-h-12 items-center justify-center gap-2 rounded-lg bg-cyan-300 px-6 text-sm font-black text-slate-950 transition hover:bg-cyan-200 focus:outline-none focus-visible:ring-2 focus-visible:ring-cyan-200 focu"
"app/page.tsx","201","REDUCED_MOTION_REVIEW","warning"," ""inline-flex min-h-12 items-center justify-center gap-2 rounded-lg border border-white/30 bg-white/10 px-6 text-sm font-black text-white transition hover:bg-white/20 focus:outline-none focus-visible:ring-2 focus-visible"
"app/page.tsx","248","TOUCH_TARGET_REVIEW","warning"," <Link href={offerHref} data-home-offer-cta data-event=""service_card_click"" data-source=""homepage_hero"" className={secondaryButton}>"
"app/page.tsx","248","FOCUS_STYLE_REVIEW","warning"," <Link href={offerHref} data-home-offer-cta data-event=""service_card_click"" data-source=""homepage_hero"" className={secondaryButton}>"
"app/page.tsx","285","REDUCED_MOTION_REVIEW","warning"," className=""group flex min-h-64 flex-col rounded-xl border border-slate-200 bg-slate-50 p-6 transition hover:border-blue-200 hover:bg-white focus:outline-none focus-visible:ring-2 focus-visible:ring-blue-600"""
"app/page.tsx","290","REDUCED_MOTION_REVIEW","warning"," <span className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-blue-800"">{service.cta}<ArrowRight className=""h-4 w-4 transition group-hover:translate-x-1"" aria-hidden=""true"" /></span>"
"app/page.tsx","306","TOUCH_TARGET_REVIEW","warning"," <Link key={location.href} href={location.href} data-home-card data-home-location={location.title} className=""group rounded-xl border border-white/15 bg-white/10 p-6 transition hover:bg-white/15 focus:outline-none focus-"
"app/page.tsx","306","REDUCED_MOTION_REVIEW","warning"," <Link key={location.href} href={location.href} data-home-card data-home-location={location.title} className=""group rounded-xl border border-white/15 bg-white/10 p-6 transition hover:bg-white/15 focus:outline-none focus-"
"app/page.tsx","310","REDUCED_MOTION_REVIEW","warning"," <span className=""mt-6 inline-flex items-center gap-2 text-sm font-black text-cyan-200"">{location.cta}<ArrowRight className=""h-4 w-4 transition group-hover:translate-x-1"" aria-hidden=""true"" /></span>"
"app/page.tsx","341","TOUCH_TARGET_REVIEW","warning"," <Link key={solution.href} href={solution.href} data-home-card data-home-special={solution.title} className=""group flex min-h-56 flex-col rounded-xl border border-slate-200 bg-white p-6 transition hover:border-blue-200 f"
"app/page.tsx","341","REDUCED_MOTION_REVIEW","warning"," <Link key={solution.href} href={solution.href} data-home-card data-home-special={solution.title} className=""group flex min-h-56 flex-col rounded-xl border border-slate-200 bg-white p-6 transition hover:border-blue-200 f"
"app/page.tsx","345","REDUCED_MOTION_REVIEW","warning"," <span className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-blue-800"">Mehr erfahren<ArrowRight className=""h-4 w-4 transition group-hover:translate-x-1"" aria-hidden=""true"" /></span>"
"app/[serviceSlug]/page.tsx","810","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-lg bg-slate-950 px-6 text-sm font-black text-white shadow-sm transition hover:bg-primary"""
"app/[serviceSlug]/page.tsx","825","REDUCED_MOTION_REVIEW","warning"," className=""group rounded-[1.45rem] border border-slate-200 bg-white px-5 py-5 shadow-sm shadow-slate-950/5 transition-all hover:-translate-y-0.5 hover:border-primary/25 hover:shadow-lg hover:shadow-slate-950/10"""
"app/[serviceSlug]/page.tsx","830","REDUCED_MOTION_REVIEW","warning"," <h2 className=""mt-3 text-lg font-semibold text-slate-950 transition-colors group-hover:text-primary"">"
"app/[serviceSlug]/page.tsx","960","REDUCED_MOTION_REVIEW","warning"," <span className=""text-xl leading-none text-primary transition-transform group-open:rotate-45"">"
"app/[serviceSlug]/page.tsx","1013","REDUCED_MOTION_REVIEW","warning"," className=""group rounded-[1.4rem] border border-slate-200 bg-white px-5 py-5 transition-all hover:-translate-y-0.5 hover:border-primary/25 hover:shadow-lg hover:shadow-slate-950/10"""
"app/[serviceSlug]/page.tsx","1018","REDUCED_MOTION_REVIEW","warning"," <h3 className=""mt-3 flex items-center gap-2 text-lg font-semibold text-slate-950 transition-colors group-hover:text-primary"">"
"app/[serviceSlug]/page.tsx","1020","REDUCED_MOTION_REVIEW","warning"," <ChevronRight className=""h-4 w-4 opacity-0 transition-opacity group-hover:opacity-100"" />"
"app/[serviceSlug]/page.tsx","1050","REDUCED_MOTION_REVIEW","warning"," className=""group rounded-xl border border-border/50 p-5 transition-all hover:border-primary/30"""
"app/[serviceSlug]/page.tsx","1052","REDUCED_MOTION_REVIEW","warning"," <h3 className=""flex items-center gap-2 font-semibold transition-colors group-hover:text-primary"">"
"app/[serviceSlug]/page.tsx","1054","REDUCED_MOTION_REVIEW","warning"," <ChevronRight className=""h-4 w-4 opacity-0 transition-opacity group-hover:opacity-100"" />"
"app/[serviceSlug]/page.tsx","1096","REDUCED_MOTION_REVIEW","warning"," className=""rounded-full border border-border/50 px-4 py-2 text-sm text-muted-foreground transition-all hover:border-primary/30 hover:text-primary"""
"app/[serviceSlug]/page.tsx","1118","REDUCED_MOTION_REVIEW","warning"," className=""whitespace-nowrap rounded-xl bg-[#25D366] px-8 py-4 font-bold text-white shadow-lg shadow-green-900/20 transition-all hover:bg-[#128C7E]"""
"app/[serviceSlug]/page.tsx","1148","REDUCED_MOTION_REVIEW","warning"," <div className=""absolute -inset-1 rounded-[2.5rem] bg-gradient-to-r from-violet-500/10 to-indigo-500/10 blur-xl opacity-0 transition duration-1000 group-hover:opacity-100 group-hover:duration-200"" />"
"app/[serviceSlug]/page.tsx","1160","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex items-center gap-2 rounded-full border border-border/50 px-5 py-3 text-sm font-medium text-foreground transition-colors hover:border-primary/30 hover:text-primary"""
"app/wohnungsaufloesung-regensburg/page.tsx","261","TOUCH_TARGET_REVIEW","warning"," <Link href=""/"" className=""hover:text-slate-950"">FLOXANT</Link>"
"app/wohnungsaufloesung-regensburg/page.tsx","261","FOCUS_STYLE_REVIEW","warning"," <Link href=""/"" className=""hover:text-slate-950"">FLOXANT</Link>"
"app/wohnungsaufloesung-regensburg/page.tsx","263","TOUCH_TARGET_REVIEW","warning"," <Link href=""/entruempelung"" className=""hover:text-slate-950"">Entrümpelung</Link>"
"app/wohnungsaufloesung-regensburg/page.tsx","263","FOCUS_STYLE_REVIEW","warning"," <Link href=""/entruempelung"" className=""hover:text-slate-950"">Entrümpelung</Link>"
"app/wohnungsaufloesung-regensburg/page.tsx","265","TOUCH_TARGET_REVIEW","warning"," <Link href=""/wohnungsaufloesung-bayern"" className=""hover:text-slate-950"">Wohnungsauflösung</Link>"
"app/wohnungsaufloesung-regensburg/page.tsx","265","FOCUS_STYLE_REVIEW","warning"," <Link href=""/wohnungsaufloesung-bayern"" className=""hover:text-slate-950"">Wohnungsauflösung</Link>"
"app/wohnungsaufloesung-regensburg/page.tsx","294","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 w-full items-center justify-center gap-2 rounded-lg bg-slate-950 px-6 text-sm font-black text-white shadow-[0_16px_40px_rgba(15,23,42,0.22)] transition hover:bg-teal-800 sm:w-auto"""
"app/wohnungsaufloesung-regensburg/page.tsx","311","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 w-full items-center justify-center gap-2 rounded-lg bg-emerald-500 px-6 text-sm font-black text-white shadow-[0_16px_40px_rgba(16,185,129,0.2)] transition hover:bg-emerald-600 sm:w-auto"""
"app/wohnungsaufloesung-regensburg/page.tsx","318","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 w-full items-center justify-center gap-2 rounded-lg border border-slate-300 bg-white px-6 text-sm font-black text-slate-900 transition hover:border-teal-300 hover:text-teal-800 sm:w-auto"""
"app/wohnungsaufloesung-regensburg/page.tsx","484","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-lg bg-slate-950 px-6 text-sm font-black text-white transition hover:bg-teal-800"""
"app/wohnungsaufloesung-regensburg/page.tsx","496","REDUCED_MOTION_REVIEW","warning"," className=""rounded-lg border border-slate-200 bg-slate-50 p-4 text-sm font-black text-slate-800 transition hover:border-teal-300 hover:bg-teal-50"""
"app/wohnungsaufloesung-regensburg/page.tsx","519","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-lg bg-white px-6 text-sm font-black text-slate-950 transition hover:bg-teal-50"""
"app/wohnungsaufloesung-regensburg/page.tsx","528","REDUCED_MOTION_REVIEW","warning"," className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-lg border border-white/15 bg-white/10 px-6 text-sm font-black text-white transition hover:bg-white/15"""
"app/wohnung-wieder-vermietbar/page.tsx","245","FOCUS_STYLE_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl bg-slate-950 px-6 text-sm font-black text-white transition hover:bg-orange-700"" data-event=""service_card_clic"
"app/wohnung-wieder-vermietbar/page.tsx","245","REDUCED_MOTION_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl bg-slate-950 px-6 text-sm font-black text-white transition hover:bg-orange-700"" data-event=""service_card_clic"
"app/wohnung-wieder-vermietbar/page.tsx","249","FOCUS_STYLE_REVIEW","warning"," <a href={whatsappHref} className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl border border-emerald-200 bg-emerald-50 px-6 text-sm font-black text-emerald-800 transition hover:bg-emerald-100"" data-"
"app/wohnung-wieder-vermietbar/page.tsx","249","REDUCED_MOTION_REVIEW","warning"," <a href={whatsappHref} className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl border border-emerald-200 bg-emerald-50 px-6 text-sm font-black text-emerald-800 transition hover:bg-emerald-100"" data-"
"app/wohnung-wieder-vermietbar/page.tsx","331","FOCUS_STYLE_REVIEW","warning"," <Link href=""/mieterwechsel-service-regensburg"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl bg-white px-4 text-sm font-black text-slate-950"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","335","FOCUS_STYLE_REVIEW","warning"," <Link href=""/makler-vermieter-link"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl border border-blue-200/40 bg-blue-950/20 px-4 text-sm font-black text-blue-50"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","339","FOCUS_STYLE_REVIEW","warning"," <Link href=""/immobilie-verkaufsbereit-machen"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl border border-amber-200/40 bg-amber-950/20 px-4 text-sm font-black text-amber-50"" data-event=""service_card_clic"
"app/wohnung-wieder-vermietbar/page.tsx","343","FOCUS_STYLE_REVIEW","warning"," <Link href=""/nachlass-raeumung-regensburg"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl border border-stone-200/40 bg-stone-950/20 px-4 text-sm font-black text-stone-50"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","347","FOCUS_STYLE_REVIEW","warning"," <Link href=""/uebergabeakte"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl border border-white/15 px-4 text-sm font-black text-white"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","351","FOCUS_STYLE_REVIEW","warning"," <Link href=""/keller-muellraum-rettung-regensburg"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl border border-amber-200/30 bg-amber-950/20 px-4 text-sm font-black text-amber-50"" data-event=""service_card_"
"app/wohnung-wieder-vermietbar/page.tsx","355","FOCUS_STYLE_REVIEW","warning"," <Link href=""/schadensbegrenzung"" className=""inline-flex min-h-11 items-center gap-2 rounded-xl border border-red-200/30 bg-red-950/20 px-4 text-sm font-black text-red-50"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","386","TOUCH_TARGET_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-orange-700 transition hover:text-orange-950"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","386","FOCUS_STYLE_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-orange-700 transition hover:text-orange-950"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","386","REDUCED_MOTION_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-orange-700 transition hover:text-orange-950"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","429","TOUCH_TARGET_REVIEW","warning"," <Link href=""/mieterwechsel-service-regensburg"" className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-orange-700 transition hover:text-orange-950"">"
"app/wohnung-wieder-vermietbar/page.tsx","429","FOCUS_STYLE_REVIEW","warning"," <Link href=""/mieterwechsel-service-regensburg"" className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-orange-700 transition hover:text-orange-950"">"
"app/wohnung-wieder-vermietbar/page.tsx","429","REDUCED_MOTION_REVIEW","warning"," <Link href=""/mieterwechsel-service-regensburg"" className=""mt-5 inline-flex items-center gap-2 text-sm font-black text-orange-700 transition hover:text-orange-950"">"
"app/wohnung-wieder-vermietbar/page.tsx","461","FOCUS_STYLE_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl bg-slate-950 px-6 text-sm font-black text-white transition hover:bg-orange-700"" data-event=""service_card_clic"
"app/wohnung-wieder-vermietbar/page.tsx","461","REDUCED_MOTION_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl bg-slate-950 px-6 text-sm font-black text-white transition hover:bg-orange-700"" data-event=""service_card_clic"
"app/wohnung-wieder-vermietbar/page.tsx","465","FOCUS_STYLE_REVIEW","warning"," <Link href=""/regensburg/reinigung"" className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl border border-slate-200 bg-white px-6 text-sm font-black text-slate-800 transition hover:border-orange-200 "
"app/wohnung-wieder-vermietbar/page.tsx","465","REDUCED_MOTION_REVIEW","warning"," <Link href=""/regensburg/reinigung"" className=""inline-flex min-h-12 items-center justify-center gap-2 rounded-xl border border-slate-200 bg-white px-6 text-sm font-black text-slate-800 transition hover:border-orange-200 "
"app/wohnung-wieder-vermietbar/page.tsx","475","TOUCH_TARGET_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""flox-mobile-action flox-mobile-action-primary"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","475","FOCUS_STYLE_REVIEW","warning"," <Link href=""#wohnung-ready-form"" className=""flox-mobile-action flox-mobile-action-primary"" data-event=""service_card_click"">"
"app/wohnung-wieder-vermietbar/page.tsx","478","TOUCH_TARGET_REVIEW","warning"," <a href={whatsappHref} className=""flox-mobile-action flox-mobile-action-whatsapp"" data-event=""whatsapp_click"">"
