severity,check,faqId,route,locale,detail,recommendation
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-practice-details-duesseldorf-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-practice-boundaries-duesseldorf-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-window-details-duesseldorf-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-window-scope-duesseldorf-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-window-access-duesseldorf-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-household-inspection-regensburg-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-household-details-regensburg-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-offer-no-savings-guarantee-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-offer-no-legal-advice-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
WARNING,FAQ_WITHOUT_ACTIVE_OUTPUT,faq-offer-without-document-en,,en,Öffentliche FAQ ist derzeit nur vorbereitet und keiner aktiven Ausgabe zugeordnet.,Erst nach passender Seitenintegration aktivieren oder publicAllowed überprüfen.
INFO,PLANNED_ASSIGNMENT,,/duesseldorf/grundreinigung,de,Route war beim Review nicht vorhanden; Zuordnung erst bei redaktionell freigegebener Seite aktivieren.,
INFO,PLANNED_ASSIGNMENT,,/duesseldorf/unterhaltsreinigung,de,Route war beim Review nicht vorhanden; Zuordnung erst bei redaktionell freigegebener Seite aktivieren.,
INFO,PLANNED_ASSIGNMENT,,/duesseldorf/bauendreinigung,de,Route war beim Review nicht vorhanden; Zuordnung erst bei redaktionell freigegebener Seite aktivieren.,
INFO,PLANNED_ASSIGNMENT,,/en/duesseldorf/move-out-cleaning,en,English Düsseldorf route was not present at review time; do not expose until route and hreflang are approved.,
WARNING,FAQ_USED_ON_TOO_MANY_PAGES,faq-request-next-step-de,,,"FAQ wird auf 7 aktiven Seiten verwendet: /, /duesseldorf/reinigung, /duesseldorf/bueroreinigung, /duesseldorf/fensterreinigung, /regensburg/umzug, /regensburg/entruempelung, /regensburg/wohnungsaufloesung",Seitenspezifische Frage kuratieren oder Nutzung auf die passendsten Seiten begrenzen.
