"route","check","expected","actual","status"
"/duesseldorf/reinigung/anfrage","STATIC_HTML","present","out\duesseldorf\reinigung\anfrage.html","PASS"
"/duesseldorf/reinigung/anfrage","H1","Reinigung in Düsseldorf direkt anfragen","Reinigung in Düsseldorf direkt anfragen","PASS"
"/duesseldorf/reinigung/anfrage","ROBOTS_NOINDEX","noindex","noindex, follow","PASS"
"/duesseldorf/reinigung/anfrage","ROBOTS_FOLLOW","follow and no nofollow","noindex, follow","PASS"
"/duesseldorf/reinigung/anfrage","CANONICAL","https://www.floxant.de/duesseldorf/reinigung","https://www.floxant.de/duesseldorf/reinigung","PASS"
"/duesseldorf/reinigung/anfrage","SITEMAP","excluded","excluded","PASS"
"/duesseldorf/reinigung/anfrage","TWO_STEPS","exactly 2","exactly 2","PASS"
"/duesseldorf/reinigung/anfrage","REQUIRED_FIELDS","all present","all present","PASS"
"/duesseldorf/reinigung/anfrage","ATTRIBUTION","UTM + gclid + gbraid + wbraid","complete","PASS"
"/duesseldorf/reinigung/anfrage","DASHBOARD_SOURCE","Google Ads – Reinigung Düsseldorf","Google Ads – Reinigung Düsseldorf","PASS"
"/duesseldorf/reinigung/anfrage","PHONE","visible","visible","PASS"
"/duesseldorf/reinigung/anfrage","WHATSAPP","visible","visible","PASS"
"/duesseldorf/reinigung/anfrage","PUBLIC_TECHNICAL_COPY","absent","absent","PASS"
"/umzug-regensburg/anfrage","STATIC_HTML","present","out\umzug-regensburg\anfrage.html","PASS"
"/umzug-regensburg/anfrage","H1","Umzug in Regensburg unkompliziert anfragen","Umzug in Regensburg unkompliziert anfragen","PASS"
"/umzug-regensburg/anfrage","ROBOTS_NOINDEX","noindex","noindex, follow","PASS"
"/umzug-regensburg/anfrage","ROBOTS_FOLLOW","follow and no nofollow","noindex, follow","PASS"
"/umzug-regensburg/anfrage","CANONICAL","https://www.floxant.de/regensburg/umzug","https://www.floxant.de/regensburg/umzug","PASS"
"/umzug-regensburg/anfrage","SITEMAP","excluded","excluded","PASS"
"/umzug-regensburg/anfrage","TWO_STEPS","exactly 2","exactly 2","PASS"
"/umzug-regensburg/anfrage","REQUIRED_FIELDS","all present","all present","PASS"
"/umzug-regensburg/anfrage","ATTRIBUTION","UTM + gclid + gbraid + wbraid","complete","PASS"
"/umzug-regensburg/anfrage","DASHBOARD_SOURCE","Google Ads – Umzug Regensburg","Google Ads – Umzug Regensburg","PASS"
"/umzug-regensburg/anfrage","PHONE","visible","visible","PASS"
"/umzug-regensburg/anfrage","WHATSAPP","visible","visible","PASS"
"/umzug-regensburg/anfrage","PUBLIC_TECHNICAL_COPY","absent","absent","PASS"
