aggregateType,sourceFile,sourceRow,label,clicks,impressions,ctrPercent,position,calculatorType,calculatorSignal,candidateCalculatorRoute,priority,classifications,relationStatus,relationBasis,recommendedAction
QUERY,Suchanfragen.csv,60,kosten umzugsreinigung,0,36,0,49.25,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P2,MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,67,umzug erding preise,0,32,0,13.91,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,POSITION_11_TO_20|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,102,umzug erding kosten,0,24,0,18,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,POSITION_11_TO_20|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
QUERY,Suchanfragen.csv,203,umzug festpreis ingolstadt,0,11,0,61.27,moving,BROAD_COST_OR_PRICE,/umzug-kosten-rechner,P2,MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Query manuell prüfen; der getrennte Export beweist keine Zielseite.
QUERY,Suchanfragen.csv,226,reinigung nach todesfall kosten,0,9,0,66.56,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,242,umzugsreinigung preise,0,8,0,36.5,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,310,fensterreinigung düsseldorf preise,0,5,0,23,cleaning,BROAD_COST_OR_PRICE,/reinigung-preis-rechner,P1,NEW_OR_LOW_DATA,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,321,wohnungsauflösung nach todesfall kosten,0,5,0,97.8,disposal,BROAD_COST_OR_PRICE,/entsorgung-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,366,wohnung ausräumen nach todesfall kosten,0,4,0,96.75,disposal,BROAD_COST_OR_PRICE,/entsorgung-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
QUERY,Suchanfragen.csv,368,kosten haushaltsauflösung tod,0,4,0,97.75,disposal,BROAD_COST_OR_PRICE,/entsorgung-kosten-rechner,P2,NEW_OR_LOW_DATA|MANUAL_REVIEW,MANUAL_REVIEW,"Nur breite Kosten-/Preisabsicht; Rechner-, Ratgeber- oder Leistungsintention muss manuell unterschieden werden.",Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
