period,type,label,clicks,impressions,ctr,position,classes,cluster,service,city,suggestedPrimaryRoute,relationStatus,action
28d,page,/duesseldorf/reinigung,16,5801,0.28,7.51,PROTECT_WINNER|CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,not_applicable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,page,/duesseldorf,1,1659,0.06,24.08,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/reinigungsfirma-angebot,0,536,0,51.19,WEAK_SERVICE_PAGE,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/duesseldorf/bueroreinigung,0,506,0,46.51,WEAK_SERVICE_PAGE,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/,4,377,1.06,7.38,PROTECT_WINNER|POSITION_4_TO_10,unclassified,,,,not_applicable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,page,/duesseldorf/gewerbereinigung,0,340,0,41.54,WEAK_SERVICE_PAGE,duesseldorf-commercial-cleaning,gewerbereinigung,duesseldorf,/duesseldorf/gewerbereinigung,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/regensburg/entruempelung,1,282,0.35,77.51,WEAK_SERVICE_PAGE,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/reinigung-muenchen,0,266,0,52.84,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/regensburg/umzug,0,249,0,66.77,WEAK_SERVICE_PAGE,regensburg-move,umzug,regensburg,/regensburg/umzug,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/regensburg/reinigung,3,246,1.22,43.35,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/regensburg/reinigungsfirma,0,238,0,45.5,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/angebot-vergleichen,0,229,0,25.46,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/praxisreinigung,0,199,0,51.26,WEAK_SERVICE_PAGE,duesseldorf-practice-cleaning,praxisreinigung,duesseldorf,/duesseldorf/praxisreinigung,not_applicable,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/angebot-vergleichen-duesseldorf,0,151,0,48.28,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/entruempelung,0,140,0,31.37,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/region-duesseldorf,0,138,0,47.72,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
28d,page,/duesseldorf/reinigungsfirma,0,137,0,70.45,WEAK_SERVICE_PAGE,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,manual_review,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/seniorenumzug-bayern,0,120,0,15.9,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,unclassified,,,,not_applicable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,page,/umzug-regensburg,0,97,0,64.57,WEAK_SERVICE_PAGE|CANNIBALIZATION_RISK,regensburg-move,umzug,regensburg,/regensburg/umzug,manual_review,"Review historical alias, redirect, canonical, sitemap and internal links; do not infer query-to-URL proof."
28d,page,/blog/praxisreinigung-duesseldorf-angebot-pruefen,0,91,0,30.23,WEAK_SERVICE_PAGE,duesseldorf-practice-cleaning,praxisreinigung,duesseldorf,/duesseldorf/praxisreinigung,manual_review,"Align H1, visible answer, scope, required details and related links with the page task."
28d,page,/leistungen,0,88,0,53.26,MANUAL_REVIEW,unclassified,,,,not_applicable,Manual review; no automatic route or content decision.
