aggregateType,sourceFile,sourceRow,pageUrl,path,clicks,impressions,ctrPercent,position,priority,classifications,cluster,service,city,relatedPrimaryRouteForReview,evidenceBoundary,recommendedAction
PAGE,Seiten.csv,2,https://www.floxant.de/duesseldorf/reinigung,/duesseldorf/reinigung,19,6783,0.28,6.58,P0,PROTECT_WINNER|HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,URL und Hauptsignale schützen; höchstens einen kontrollierten Snippet-Test über mindestens 28 Tage messen.
PAGE,Seiten.csv,3,https://www.floxant.de/,/,8,818,0.98,7.53,P3,PROTECT_WINNER|HIGH_IMPRESSIONS_LOW_CTR|POSITION_6_TO_10_LOW_CTR,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,URL und Hauptsignale schützen; höchstens einen kontrollierten Snippet-Test über mindestens 28 Tage messen.
PAGE,Seiten.csv,4,https://www.floxant.de/klaviertransport-ergoldsbach,/klaviertransport-ergoldsbach,3,7,42.86,1.14,P3,PROTECT_WINNER|NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,"Gewinner-Signale schützen; keine radikale URL-, Canonical- oder Inhaltsänderung."
PAGE,Seiten.csv,5,https://www.floxant.de/duesseldorf,/duesseldorf,2,773,0.26,44.88,P3,HIGH_IMPRESSIONS_LOW_CTR,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,"Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
PAGE,Seiten.csv,6,https://www.floxant.de/regensburg/reinigung,/regensburg/reinigung,2,556,0.36,38.37,P3,HIGH_IMPRESSIONS_LOW_CTR,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,"Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
PAGE,Seiten.csv,7,https://www.floxant.de/en,/en,2,43,4.65,10.65,P3,POSITION_11_TO_20,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Intent-spezifischen Inhalt und interne Links prüfen; keine Synonymseite erzeugen.
PAGE,Seiten.csv,8,https://www.floxant.de/klaviertransport-mainburg,/klaviertransport-mainburg,2,4,50,3,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,9,https://www.floxant.de/klaviertransport-regenstauf,/klaviertransport-regenstauf,2,3,66.67,3,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,10,https://www.floxant.de/duesseldorf/praxisreinigung,/duesseldorf/praxisreinigung,1,356,0.28,25.01,P1,HIGH_IMPRESSIONS_LOW_CTR|WEAK_SERVICE_PAGE,duesseldorf-practice-cleaning,praxisreinigung,duesseldorf,/duesseldorf/praxisreinigung,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,"Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
PAGE,Seiten.csv,11,https://www.floxant.de/regensburg/entruempelung,/regensburg/entruempelung,1,227,0.44,69.2,P2,HIGH_IMPRESSIONS_LOW_CTR|WEAK_SERVICE_PAGE,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,"Title, Description und erste sichtbare Aussage kontrolliert prüfen; keine Query-zu-URL-Zuordnung behaupten."
PAGE,Seiten.csv,12,https://www.floxant.de/klaviertransport-regensburg,/klaviertransport-regensburg,1,52,1.92,7.81,P3,MANUAL_REVIEW,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Seite manuell prüfen.
PAGE,Seiten.csv,13,https://www.floxant.de/regensburg,/regensburg,1,49,2.04,7.59,P3,MANUAL_REVIEW,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Seite manuell prüfen.
PAGE,Seiten.csv,14,https://www.floxant.de/impressum,/impressum,1,23,4.35,4.17,P3,MANUAL_REVIEW,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Seite manuell prüfen.
PAGE,Seiten.csv,15,https://www.floxant.de/studentenumzug-roding,/studentenumzug-roding,1,6,16.67,6,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,16,https://www.floxant.de/klaviertransport-amberg,/klaviertransport-amberg,1,6,16.67,7.83,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,17,https://www.floxant.de/entruempelung-kosten-regensburg,/entruempelung-kosten-regensburg,1,5,20,3,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,18,https://www.floxant.de/klaviertransport-osterhofen,/klaviertransport-osterhofen,1,4,25,2.5,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,19,https://www.floxant.de/klaviertransport-neumarkt,/klaviertransport-neumarkt,1,4,25,3.25,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,20,https://www.floxant.de/reinigung-bernhardswald,/reinigung-bernhardswald,1,4,25,4.25,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,21,https://www.floxant.de/en/koeln/cleaning,/en/koeln/cleaning,1,4,25,9,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,22,https://www.floxant.de/blog/grundreinigung-duesseldorf-angebot-kosten-pruefen,/blog/grundreinigung-duesseldorf-angebot-kosten-pruefen,1,4,25,13,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,23,https://www.floxant.de/rechner,/rechner,1,4,25,22.75,P1,NEW_OR_LOW_DATA,calculator-hub,calculator,,/rechner,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,24,https://www.floxant.de/umzug-geisenfeld,/umzug-geisenfeld,1,3,33.33,2.67,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,25,https://www.floxant.de/entruempelung-starnberg,/entruempelung-starnberg,1,3,33.33,5.67,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,26,https://www.floxant.de/reinigung-lappersdorf,/reinigung-lappersdorf,1,3,33.33,8.33,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,27,https://www.floxant.de/klaviertransport-weilheim-in-oberbayern,/klaviertransport-weilheim-in-oberbayern,1,2,50,2.5,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,28,https://www.floxant.de/blog/b2b-reinigung-buero-praxis-hausverwaltung-richtig-anfragen,/blog/b2b-reinigung-buero-praxis-hausverwaltung-richtig-anfragen,1,2,50,4,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
PAGE,Seiten.csv,29,https://www.floxant.de/klaviertransport-landsberg-am-lech,/klaviertransport-landsberg-am-lech,1,2,50,6,P3,NEW_OR_LOW_DATA,unclassified,,,,Nur Seitenaggregat; keine Query-Zuordnung und keine Redirect-Ableitung.,Mehr Daten sammeln; keine Routing- oder Redirect-Entscheidung treffen.
