priority,route,pageClicks,pageImpressions,pageCtr,pagePosition,queryImpressions,classes,relationStatus,decision,staticStatus,evidence
P0,/duesseldorf/reinigung,16,5801,0.28,7.51,1461,CTR_OPPORTUNITY|MANUAL_REVIEW|PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20|POSITION_4_TO_10|PROTECT_WINNER|WEAK_SERVICE_PAGE,manual_review|not_applicable|probable,PROTECT,PRESENT,28-day page aggregate; separate page aggregate; target relation not proven; query aggregate kept separate from page aggregate
P0,/,4,377,1.06,7.38,0,POSITION_4_TO_10|PROTECT_WINNER,not_applicable,PROTECT,PRESENT,28-day page aggregate
P0,/klaviertransport-regensburg,1,60,1.67,8.05,29,POSITION_4_TO_10|PROTECT_WINNER,manual_review|not_applicable|probable,PROTECT,PRESENT,28-day page aggregate; separate page aggregate; target relation not proven; query aggregate kept separate from page aggregate
P0,/duesseldorf/grundreinigung,0,3,0,10.67,323,CTR_OPPORTUNITY|POSITION_4_TO_10|PROTECT_WINNER|WEAK_SERVICE_PAGE,manual_review|not_applicable|probable,PROTECT,PRESENT,separate page aggregate; target relation not proven; 28-day page aggregate; query aggregate kept separate from page aggregate
P0,/duesseldorf/baureinigung,0,0,,,356,CTR_OPPORTUNITY|PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20|POSITION_4_TO_10|PROTECT_WINNER,probable,PROTECT,PRESENT,query aggregate kept separate from page aggregate
P1,/duesseldorf,1,1659,0.06,24.08,0,MANUAL_REVIEW,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/reinigungsfirma-angebot,0,536,0,51.19,858,MANUAL_REVIEW|PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20|STRONG_QUERY_WEAK_PAGE|WEAK_SERVICE_PAGE,manual_review|not_applicable|probable,STRENGTHEN,PRESENT,28-day page aggregate; separate page aggregate; target relation not proven; query aggregate kept separate from page aggregate
P1,/duesseldorf/bueroreinigung,0,506,0,46.51,904,CANNIBALIZATION_RISK|CTR_OPPORTUNITY|PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20|POSITION_4_TO_10|STRONG_QUERY_WEAK_PAGE|WEAK_SERVICE_PAGE,not_applicable|probable,MANUAL_REVIEW,PRESENT,28-day page aggregate; query aggregate kept separate from page aggregate
P1,/duesseldorf/gewerbereinigung,0,340,0,41.54,0,WEAK_SERVICE_PAGE,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/regensburg/entruempelung,1,282,0.35,77.51,165,CANNIBALIZATION_RISK|STRONG_QUERY_WEAK_PAGE|WEAK_SERVICE_PAGE,not_applicable|probable,MANUAL_REVIEW,PRESENT,28-day page aggregate; query aggregate kept separate from page aggregate
P1,/regensburg/umzug,0,249,0,66.77,287,CANNIBALIZATION_RISK|PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20|STRONG_QUERY_WEAK_PAGE|WEAK_SERVICE_PAGE,manual_review|not_applicable|probable,MANUAL_REVIEW,PRESENT,28-day page aggregate; separate page aggregate; target relation not proven; query aggregate kept separate from page aggregate
P1,/regensburg/reinigung,3,246,1.22,43.35,0,MANUAL_REVIEW,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/regensburg/reinigungsfirma,0,238,0,45.5,0,MANUAL_REVIEW,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/duesseldorf/praxisreinigung,0,199,0,51.26,450,CTR_OPPORTUNITY|PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20|STRONG_QUERY_WEAK_PAGE|WEAK_SERVICE_PAGE,manual_review|not_applicable|probable,STRENGTHEN,PRESENT,28-day page aggregate; separate page aggregate; target relation not proven; query aggregate kept separate from page aggregate
P1,/angebot-vergleichen-duesseldorf,0,151,0,48.28,0,MANUAL_REVIEW,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/entruempelung,0,140,0,31.37,0,MANUAL_REVIEW,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/seniorenumzug-bayern,0,120,0,15.9,0,PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/seniorenumzug-nuernberg,0,74,0,19.15,0,PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/regensburg/wohnungsaufloesung,0,54,0,36.33,97,MANUAL_REVIEW|STRONG_QUERY_WEAK_PAGE|WEAK_SERVICE_PAGE,not_applicable|probable,STRENGTHEN,PRESENT,28-day page aggregate; query aggregate kept separate from page aggregate
P1,/anbieter-vergleichen,0,52,0,9.48,0,CTR_OPPORTUNITY|POSITION_4_TO_10,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/blog/umzug-im-alter-erlangen-bamberg-fuerth,0,51,0,4.43,0,CTR_OPPORTUNITY|POSITION_4_TO_10,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/seniorenumzug-fuerth,0,49,0,7.88,0,CTR_OPPORTUNITY|POSITION_4_TO_10,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/fernumzug-muenchen,0,47,0,10.3,0,PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
P1,/umzug-vohenstrauss,0,45,0,15.09,0,PAGE_TWO_OPPORTUNITY|POSITION_11_TO_20,not_applicable,STRENGTHEN,PRESENT,28-day page aggregate
