period,type,label,clicks,impressions,ctr,position,classes,cluster,service,city,suggestedPrimaryRoute,relationStatus,action
28d,query,büroreinigung düsseldorf,0,512,0,11.2,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|STRONG_QUERY_WEAK_PAGE|CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,praxisreinigung düsseldorf,0,426,0,12.25,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY|STRONG_QUERY_WEAK_PAGE,duesseldorf-practice-cleaning,praxisreinigung,duesseldorf,/duesseldorf/praxisreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,büroreinigung duesseldorf,0,256,0,9.93,CTR_OPPORTUNITY|POSITION_4_TO_10|STRONG_QUERY_WEAK_PAGE|CANNIBALIZATION_RISK,duesseldorf-office-cleaning,bueroreinigung,duesseldorf,/duesseldorf/bueroreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,angebot reinigungsfirma,0,236,0,23.02,STRONG_QUERY_WEAK_PAGE,cleaning-offer,reinigungsangebot,,/reinigungsfirma-angebot,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,fensterreinigung düsseldorf,1,234,0.43,8.84,CTR_OPPORTUNITY|POSITION_4_TO_10|STRONG_QUERY_WEAK_PAGE,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,reinigungsdienst düsseldorf,0,214,0,7.46,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,grundreinigung düsseldorf,0,205,0,3.25,PROTECT_WINNER|CTR_OPPORTUNITY,duesseldorf-deep-cleaning,grundreinigung,duesseldorf,/duesseldorf/grundreinigung,probable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,query,unterhaltsreinigung düsseldorf,0,171,0,12.04,POSITION_11_TO_20|PAGE_TWO_OPPORTUNITY,duesseldorf-maintenance-cleaning,unterhaltsreinigung,duesseldorf,/duesseldorf/unterhaltsreinigung,probable,"Strengthen intent-specific copy, FAQs and precise internal links without creating a synonym page."
28d,query,putzfirma düsseldorf,0,164,0,8.65,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,bauendreinigung düsseldorf,1,146,0.68,5.08,PROTECT_WINNER|CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-construction-cleaning,baureinigung,duesseldorf,/duesseldorf/baureinigung,probable,Protect URL and primary signals; use one measured snippet or internal-link improvement.
28d,query,reinigungsunternehmen düsseldorf,0,146,0,7.68,CTR_OPPORTUNITY|POSITION_4_TO_10,duesseldorf-cleaning-hub,reinigung,duesseldorf,/duesseldorf/reinigung,probable,Test one concise title or description variant and measure for at least 28 days.
28d,query,entrümpelung regensburg,0,140,0,78.36,STRONG_QUERY_WEAK_PAGE|CANNIBALIZATION_RISK,regensburg-clearance,entruempelung,regensburg,/regensburg/entruempelung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,fensterreiniger düsseldorf,0,132,0,9.92,CTR_OPPORTUNITY|POSITION_4_TO_10|STRONG_QUERY_WEAK_PAGE,duesseldorf-window-cleaning,fensterreinigung,duesseldorf,/duesseldorf/fensterreinigung,probable,"Audit indexability, canonical, sitemap, internal links and competing pages before changing the target."
28d,query,gewerbereinigung,0,119,0,37.38,MANUAL_REVIEW,unclassified,,,,unclear,Manual review; no automatic route or content decision.
