query,clicks,impressions,ctr,position,language,intent,brandQuery,sourceCount
praxisreinigung düsseldorf,0,440,0.000000,21.12,de,commercial,false,1
büroreinigung düsseldorf,0,401,0.000000,21.06,de,commercial,false,1
gewerbereinigung,0,194,0.000000,26.38,de,commercial,false,1
b2b büroreinigung,0,192,0.000000,2.69,de,commercial,false,1
reinigung nach entrümpelung landshut,0,191,0.000000,6.18,de,commercial,false,1
angebot reinigungsfirma,0,183,0.000000,22.48,de,transactional,false,1
diskreter service,0,168,0.000000,5.64,de,transactional,false,1
grundreinigung düsseldorf,0,142,0.000000,8.94,de,commercial,false,1
entrümpelung regensburg,0,131,0.000000,76.85,de,commercial,false,1
umzug regensburg,0,115,0.000000,61.58,de,commercial,false,1
fensterreinigung düsseldorf,0,111,0.000000,10.63,de,commercial,false,1
putzfirma düsseldorf,0,102,0.000000,14.01,de,transactional,false,1
umzug münchen,0,100,0.000000,56.22,de,commercial,false,1
reinigungsdienst düsseldorf,0,94,0.000000,11.28,de,commercial,false,1
umzug neustadt an der waldnaab,0,93,0.000000,5.55,de,commercial,false,1
wohnungsauflösung regensburg,0,89,0.000000,34.78,de,unknown,false,1
büroreinigung duesseldorf,0,88,0.000000,10.16,de,commercial,false,1
umzugsunternehmen regensburg,0,85,0.000000,62.62,de,transactional,false,1
büroreinigung,0,80,0.000000,17.94,de,commercial,false,1
praxisentrümpelung nürnberg,0,75,0.000000,9.67,de,commercial,false,1
fensterreiniger düsseldorf,0,72,0.000000,12.97,de,unknown,false,1
umzug vohenstrauß,0,71,0.000000,7.18,de,commercial,false,1
umzug im alter bamberg,0,70,0.000000,7.59,de,commercial,false,1
büroreinigung in düsseldorf,0,70,0.000000,23.33,de,commercial,false,1
umzug im alter erlangen,0,69,0.000000,7.58,de,commercial,false,1
reinigungsunternehmen düsseldorf,0,65,0.000000,12.06,de,commercial,false,1
putzfirmen düsseldorf,0,63,0.000000,26.16,de,unknown,false,1
unterhaltsreinigung düsseldorf,0,60,0.000000,13.35,de,commercial,false,1
glasreinigung düsseldorf,0,57,0.000000,10.33,de,commercial,false,1
wohnungsreinigung düsseldorf,0,56,0.000000,14.29,de,commercial,false,1
praxisreinigung,0,56,0.000000,29.57,de,commercial,false,1
umzugshelfer für senioren erlangen,0,53,0.000000,18.00,de,commercial,false,1
geruchsneutralisation wohnung düsseldorf,0,51,0.000000,9.69,de,unknown,false,1
reinigungsdienst,0,50,0.000000,3.92,de,commercial,false,1
reinigung münchen sofort termin,0,50,0.000000,19.46,de,commercial,false,1
hotelreinigung düsseldorf,0,46,0.000000,20.63,de,commercial,false,1
reinigung nach umzug münchen,0,46,0.000000,57.76,de,commercial,false,1
floxant,3,45,0.066667,3.00,de,unknown,true,1
umzug im alter würzburg,0,44,0.000000,8.64,de,commercial,false,1
bodenreinigung düsseldorf,0,44,0.000000,9.43,de,commercial,false,1
reinigungsfirma angebot,0,44,0.000000,44.02,de,transactional,false,1
entrümpelung amberg,0,42,0.000000,83.69,de,commercial,false,1
bauendreinigung düsseldorf,0,41,0.000000,5.66,de,commercial,false,1
wohnungsauflösungen regensburg,0,41,0.000000,51.56,de,unknown,false,1
umzugshelfer für senioren bayern,0,40,0.000000,19.38,de,commercial,false,1
umzug nabburg,0,39,0.000000,4.97,de,commercial,false,1
wohnung geruchsentfernung düsseldorf,0,39,0.000000,11.41,de,unknown,false,1
international moving services,0,38,0.000000,1.00,en,transactional,false,1
haushaltsauflösung flensburg,0,38,0.000000,69.11,de,unknown,false,1
entrümpelung und reinigung,0,35,0.000000,8.34,de,commercial,false,1
umzugshelfer für senioren nürnberg,0,35,0.000000,18.51,de,commercial,false,1
umzug im alter bayern,0,34,0.000000,4.29,de,commercial,false,1
büroumzug rosenheim,0,34,0.000000,9.12,de,commercial,false,1
umzugshelfer für senioren bamberg,0,34,0.000000,15.94,de,commercial,false,1
privatumzug münchen,0,33,0.000000,56.85,de,commercial,false,1
fensterreinigung,0,32,0.000000,9.09,de,commercial,false,1
praxis entrümpelung nürnberg,0,32,0.000000,28.72,de,commercial,false,1
büro putzen düsseldorf,0,31,0.000000,12.77,de,unknown,false,1
günstige umzüge münchen,0,31,0.000000,34.42,de,commercial,false,1
professionelle lagerhallenreinigung in düsseldorf und umkreis,0,30,0.000000,5.43,de,commercial,false,1
treppenreinigung düsseldorf,0,30,0.000000,6.10,de,commercial,false,1
seniorenumzug landshut,0,30,0.000000,8.60,de,commercial,false,1
reinigungsfirma düsseldorf,0,30,0.000000,53.60,de,transactional,false,1
geruchsneutralisation düsseldorf,0,29,0.000000,7.69,de,unknown,false,1
desinfektionsreinigung düsseldorf,0,29,0.000000,16.55,de,commercial,false,1
reinigungsservice münchen buchen,0,28,0.000000,29.96,de,transactional,false,1
internationale umzüge,0,27,0.000000,1.00,de,commercial,false,1
umzug münchen haidhausen,0,27,0.000000,6.52,de,commercial,false,1
grundreinigung wohnung düsseldorf,0,27,0.000000,13.67,de,commercial,false,1
professionelle desinfektion düsseldorf,0,27,0.000000,16.56,de,unknown,false,1
zuverlässige büroreiniger in düsseldorf,0,27,0.000000,49.00,de,unknown,false,1
klaviertransport regensburg,2,26,0.076923,4.35,de,unknown,false,1
hausreinigung düsseldorf,0,26,0.000000,14.69,de,commercial,false,1
umzugshelfer für senioren würzburg,0,25,0.000000,12.64,de,commercial,false,1
reinigungsservice düsseldorf,0,25,0.000000,46.60,de,transactional,false,1
seniorenumzug erding,0,24,0.000000,3.33,de,commercial,false,1
umzugsreinigung,0,24,0.000000,8.42,de,commercial,false,1
spezialreinigung düsseldorf,0,24,0.000000,11.79,de,commercial,false,1
bauendreinigung,0,24,0.000000,13.33,de,commercial,false,1
umzüge regensburg,0,24,0.000000,52.71,de,commercial,false,1
wohnungsreinigung münchen,0,24,0.000000,53.29,de,commercial,false,1
professioneller wlan umzugsservice in bayern,0,24,0.000000,55.62,de,transactional,false,1
desinfektion für privat und gewerbe düsseldorf,0,23,0.000000,9.78,de,unknown,false,1
fernumzug münchen,0,23,0.000000,13.22,de,commercial,false,1
umzug münchen schwabing,0,23,0.000000,13.74,de,commercial,false,1
grundreinigung duesseldorf,0,23,0.000000,17.87,de,commercial,false,1
umzugsservice regensburg,0,23,0.000000,22.87,de,transactional,false,1
umzüge mit abbau regensburg,0,23,0.000000,25.43,de,commercial,false,1
büro reinigen düsseldorf,0,23,0.000000,30.04,de,unknown,false,1
haushaltsauflösung grafenau,0,23,0.000000,35.30,de,unknown,false,1
günstiges umzugsunternehmen münchen,0,23,0.000000,37.39,de,transactional,false,1
verkaufsflächenreinigung,0,23,0.000000,54.52,de,commercial,false,1
umzug münchen günstig,0,22,0.000000,27.09,de,commercial,false,1
beste objektbetreuung und umzugsservice mit reinigung in münchen und umgebung,0,22,0.000000,32.45,de,transactional,false,1
fachkundige umzugshelfer in regensburg,0,22,0.000000,55.50,de,commercial,false,1
desinfektion büro düsseldorf,0,21,0.000000,16.19,de,unknown,false,1
angebot reinigung,0,21,0.000000,30.81,de,transactional,false,1
professionelle praxisreinigung düsseldorf,0,20,0.000000,4.65,de,commercial,false,1
verkehrsmittelreinigung düsseldorf,0,20,0.000000,12.95,de,commercial,false,1
fenster putzen düsseldorf,0,20,0.000000,16.50,de,unknown,false,1
günstiger umzug münchen,0,20,0.000000,32.25,de,commercial,false,1
baustellenreinigung düsseldorf,0,19,0.000000,9.63,de,commercial,false,1
gewerbeobjekt reinigung,0,19,0.000000,15.95,de,commercial,false,1
wohnungsauflösung bielingplatz,0,19,0.000000,29.58,de,unknown,false,1
büroreinigung regensburg,0,19,0.000000,35.47,de,commercial,false,1
wohnungsentrümpelung regensburg,0,19,0.000000,65.58,de,commercial,false,1
seniorenumzug starnberg,0,18,0.000000,8.89,de,commercial,false,1
besenreine übergabe landshut,0,18,0.000000,12.78,de,unknown,false,1
reinigungsfirmen düsseldorf,0,18,0.000000,18.22,de,commercial,false,1
reinigung umzugsreinigung,0,18,0.000000,30.83,de,commercial,false,1
schlüsselübergabeprotokoll reinigungsfirma,0,18,0.000000,36.44,de,transactional,false,1
umzugsfirma mit aufbauservice regensburg,0,18,0.000000,40.39,de,transactional,false,1
baureinigung,0,17,0.000000,5.76,de,commercial,false,1
bestes reinigungsunternehmen für privatkunden in vilsbiburg,0,17,0.000000,10.88,de,commercial,false,1
maschinenreinigung düsseldorf,0,17,0.000000,13.53,de,commercial,false,1
günstig umzug,0,17,0.000000,15.41,de,commercial,false,1
baureinigung düsseldorf,0,17,0.000000,19.94,de,commercial,false,1
umzugsunternehmen münchen günstig,0,17,0.000000,31.59,de,transactional,false,1
krankenhausreinigung nrw,0,17,0.000000,32.94,de,commercial,false,1
gewerbeflächen reinigen,0,17,0.000000,41.18,de,unknown,false,1
hausauflösung regensburg,0,17,0.000000,63.29,de,unknown,false,1
umzugsreinigung düsseldorf,0,16,0.000000,5.25,de,commercial,false,1
desinfektion gewerbe düsseldorf,0,16,0.000000,13.75,de,unknown,false,1
seniorenumzug germering,0,16,0.000000,16.31,de,commercial,false,1
umzug im alter nürnberg,0,16,0.000000,20.56,de,commercial,false,1
reinigung münchen anfrage,0,16,0.000000,24.25,de,commercial,false,1
professionelle lagerhallen reinigung in düsseldorf und umkreis,0,16,0.000000,39.94,de,commercial,false,1
desinfektion düsseldorf,0,16,0.000000,42.31,de,unknown,false,1
reinigungsdienst in der nähe,0,15,0.000000,3.53,de,commercial,false,1
räumungsservice landshut,0,15,0.000000,4.67,de,transactional,false,1
umzug münchen bogenhausen,0,15,0.000000,6.60,de,commercial,false,1
klaviertransport nürnberg,0,15,0.000000,13.73,de,unknown,false,1
umzug im alter fürth,0,15,0.000000,18.40,de,commercial,false,1
reinigungsprodukte düsseldorf,0,15,0.000000,21.07,de,commercial,false,1
reinigung für firmen,0,15,0.000000,25.13,de,commercial,false,1
endreinigung wohnung münchen,0,15,0.000000,38.47,de,commercial,false,1
reinigung düsseldorf,0,15,0.000000,39.07,de,commercial,false,1
reinigung wartung rigole düsseldorf,0,15,0.000000,71.33,de,commercial,false,1
baufeinreinigung düsseldorf,0,14,0.000000,8.57,de,commercial,false,1
desinfektion privatkunden düsseldorf,0,14,0.000000,17.07,de,unknown,false,1
wohnungsauflösung katzwanger straße,0,14,0.000000,26.43,de,unknown,false,1
