route,staticStatus,clickDepth,inboundCount,inboundSources,pathFromHome,status,opportunity
/duesseldorf/baureinigung,PRESENT,2,5,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/fensterreinigung|/duesseldorf/grundreinigung,/ -> /leistungen -> /duesseldorf/baureinigung,PASS,No urgent internal-link action.
/duesseldorf/bueroreinigung,PRESENT,2,10,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/gewerbereinigung|/duesseldorf/praxisreinigung|/duesseldorf/fensterreinigung|/duesseldorf/grundreinigung|/duesseldorf/unterhaltsreinigung|/duesseldorf/baureinigung|/reinigungsfirma-angebot,/ -> /angebot-guenstiger-pruefen -> /duesseldorf/bueroreinigung,PASS,No urgent internal-link action.
/duesseldorf/fensterreinigung,PRESENT,2,9,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/bueroreinigung|/duesseldorf/gewerbereinigung|/duesseldorf/praxisreinigung|/duesseldorf/grundreinigung|/duesseldorf/unterhaltsreinigung|/duesseldorf/baureinigung,/ -> /leistungen -> /duesseldorf/fensterreinigung,PASS,No urgent internal-link action.
/duesseldorf/gewerbereinigung,PRESENT,2,9,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/bueroreinigung|/duesseldorf/praxisreinigung|/duesseldorf/fensterreinigung|/duesseldorf/grundreinigung|/duesseldorf/unterhaltsreinigung|/duesseldorf/baureinigung,/ -> /angebot-guenstiger-pruefen -> /duesseldorf/gewerbereinigung,PASS,No urgent internal-link action.
/duesseldorf/grundreinigung,PRESENT,2,9,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/bueroreinigung|/duesseldorf/gewerbereinigung|/duesseldorf/praxisreinigung|/duesseldorf/fensterreinigung|/duesseldorf/unterhaltsreinigung|/duesseldorf/baureinigung,/ -> /leistungen -> /duesseldorf/grundreinigung,PASS,No urgent internal-link action.
/duesseldorf/praxisreinigung,PRESENT,2,10,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/bueroreinigung|/duesseldorf/gewerbereinigung|/duesseldorf/fensterreinigung|/duesseldorf/grundreinigung|/duesseldorf/unterhaltsreinigung|/duesseldorf/baureinigung|/reinigungsfirma-angebot,/ -> /leistungen -> /duesseldorf/praxisreinigung,PASS,No urgent internal-link action.
/duesseldorf/reinigung,PRESENT,1,11,/|/leistungen|/duesseldorf|/duesseldorf/bueroreinigung|/duesseldorf/gewerbereinigung|/duesseldorf/praxisreinigung|/duesseldorf/fensterreinigung|/duesseldorf/grundreinigung|/duesseldorf/unterhaltsreinigung|/duesseldorf/baureinigung|/reinigungsfirma-angebot,/ -> /duesseldorf/reinigung,PASS,No urgent internal-link action.
/duesseldorf/unterhaltsreinigung,PRESENT,2,6,/leistungen|/duesseldorf|/duesseldorf/reinigung|/duesseldorf/bueroreinigung|/duesseldorf/praxisreinigung|/duesseldorf/grundreinigung,/ -> /leistungen -> /duesseldorf/unterhaltsreinigung,PASS,No urgent internal-link action.
/klaviertransport-regensburg,PRESENT,2,3,/leistungen|/regensburg|/regensburg/umzug,/ -> /leistungen -> /klaviertransport-regensburg,PASS,No urgent internal-link action.
/regensburg/entruempelung,PRESENT,1,8,/|/leistungen|/duesseldorf|/regensburg|/regensburg/umzug|/regensburg/wohnungsaufloesung|/klaviertransport-regensburg|/reinigungsfirma-angebot,/ -> /regensburg/entruempelung,PASS,No urgent internal-link action.
/regensburg/umzug,PRESENT,1,8,/|/leistungen|/duesseldorf|/regensburg|/regensburg/entruempelung|/regensburg/wohnungsaufloesung|/klaviertransport-regensburg|/reinigungsfirma-angebot,/ -> /regensburg/umzug,PASS,No urgent internal-link action.
/regensburg/wohnungsaufloesung,PRESENT,2,3,/leistungen|/regensburg|/regensburg/entruempelung,/ -> /angebot-guenstiger-pruefen -> /regensburg/wohnungsaufloesung,PASS,No urgent internal-link action.
/reinigungsfirma-angebot,PRESENT,1,7,/|/leistungen|/regensburg|/regensburg/umzug|/regensburg/entruempelung|/regensburg/wohnungsaufloesung|/klaviertransport-regensburg,/ -> /reinigungsfirma-angebot,PASS,No urgent internal-link action.
