Route;Status;FinalURL;Title;H1;MetaDescription;VisibleSections;PrimaryCTA;Canonical;IndexStatus;SitemapStatus;InternalLinks;VisibleInternalTerms;VisibleBadUmlauts;LocationMix;Overloaded;DuplicateBlocks;PotentialCannibalization;UXIssues
/;200;https://www.floxant.de/;FLOXANT | Reinigung Düsseldorf & Services Regensburg;Reinigung in Düsseldorf. Umzug und Service in Regensburg.;FLOXANT für Reinigung in Düsseldorf sowie Umzug, Räumung und Reinigung in Regensburg. Auftrag mit Ort, Umfang, Termin und Fotos anfragen.;9 H2/28 Headings: Unterstützung|Standorte|Angebotsprüfung|Sonderfälle|3-Schritt-Ablauf|English|Tools|FAQ|Kontakt;Anfrage senden;https://www.floxant.de/;index,follow;ja;17;0;0;0;ja: 654 Wörter/28 Headings;0;keine technische;zu viele gleichrangige Bereiche, Sonderservices und Tools für die Startseite
/duesseldorf;200;https://www.floxant.de/duesseldorf;FLOXANT Düsseldorf | Reinigung für Büro, Praxis & Objekt;FLOXANT Düsseldorf für Reinigung von Büro, Praxis und Objekt.;FLOXANT Düsseldorf für Reinigung von Wohnung, Büro, Praxis, Gewerbe und Glas. Fläche, Turnus, Zugang, Termin oder vorhandenes Angebot senden.;5 H2/16 Headings: Reinigungsüberblick|Umgebung|Angebot/Fotos|Tools|Standort;Reinigung anfragen;https://www.floxant.de/duesseldorf;index,follow;ja;13;0;0;0;nein: 499 Wörter/16 Headings;0 aktive, 8 nur über drei Redirect-Follows;keine;Grund-, Unterhalts- und Baureinigung fehlen als erreichbare Spezialseiten, abstrakte interne Tonlage
/duesseldorf/reinigung;200;https://www.floxant.de/duesseldorf/reinigung;Reinigung Düsseldorf anfragen | Objekt, Fläche & Termin;Reinigung in Düsseldorf für Wohnung, Büro und Objekt anfragen;Reinigung in Düsseldorf für Wohnung, Büro, Praxis oder Gewerbe anfragen. Objektart, Fläche, Turnus, Termin und Fotos senden und Angebot klären.;19 H2/59 Headings: Erstklärung|Angaben|Fotos|Büro/Gewerbe|Grund/Bau|Hausverwaltung|Fälle|Ablauf|Details|Aufwand|Spezialseiten|Angebotsprüfung|Gebiet|Referenzen|Sicherheit|Tools|English|FAQ;Reinigung in Düsseldorf anfragen;https://www.floxant.de/duesseldorf/reinigung;index,follow;ja;21;0;0;Regensburg×1;ja: 2007 Wörter/59 Headings;28 geteilte Langblock-Gruppen;Hub kopiert Spezialseiteninhalte;massiv repetitiv, Standortmix und zu viele CTA/Module
/duesseldorf/bueroreinigung;200;https://www.floxant.de/duesseldorf/bueroreinigung;Büroreinigung Düsseldorf: Turnus & Angebot | FLOXANT;Büroreinigung in Düsseldorf planbar und klar anfragen;Büroreinigung in Düsseldorf für Arbeitsplätze, Küche, Sanitär und Besprechungsräume. Fläche, Turnus, Reinigungszeiten und Zugang angeben.;18 H2/46 Headings: Erstklärung|Angaben|Eckdaten|Fotos|Büro/Gewerbe|Hausverwaltung|Fälle|Ablauf|Details|Aufwand|Spezialseiten|Angebotsprüfung|Gebiet|Referenzen|Sicherheit|Tools|English|FAQ;Büroreinigung in Düsseldorf anfragen;https://www.floxant.de/duesseldorf/bueroreinigung;index,follow;ja;18;Lead×1;0;Regensburg×1;ja: 1707 Wörter/46 Headings;28 geteilte Langblock-Gruppen;starker Intent, aber großer Template-Overlap mit vier Düsseldorf-Seiten;Bürodetails werden von generischen Hausverwaltung-, Solar- und Angebotscheck-Blöcken überlagert
/duesseldorf/praxisreinigung;200;https://www.floxant.de/duesseldorf/praxisreinigung;Praxisreinigung Düsseldorf: Räume & Turnus | FLOXANT;Praxisreinigung in Düsseldorf mit Räumen und Zeiten anfragen;Praxisreinigung in Düsseldorf für Empfang, Wartebereich, Sanitär und Nebenräume. Raumliste, Turnus, Reinigungszeiten und Zugang angeben.;18 H2/45 Headings im Spezialtemplate;Praxisreinigung in Düsseldorf anfragen;https://www.floxant.de/duesseldorf/praxisreinigung;index,follow;ja;16;0;0;Regensburg×1;ja: 1651 Wörter/45 Headings;28 geteilte Langblock-Gruppen;Intent eigenständig, Content stark templated;medizinisch vorsichtig, aber generische Büro-, Gewerbe- und Hausverwaltung-Blöcke dominieren
/duesseldorf/fensterreinigung;200;https://www.floxant.de/duesseldorf/fensterreinigung;Fensterreinigung Düsseldorf: Glasflächen & Angebot;Fensterreinigung in Düsseldorf mit Glasflächen und Zugang anfragen;Fensterreinigung in Düsseldorf anfragen: Fensterzahl, Glasflächen, Innen- oder Außenseite, Rahmen, Etage, Zugang, Turnus und Fotos angeben.;18 H2/45 Headings im Spezialtemplate;Fensterreinigung in Düsseldorf anfragen;https://www.floxant.de/duesseldorf/fensterreinigung;index,follow;ja;16;0;0;Regensburg×1;ja: 1648 Wörter/45 Headings;28 geteilte Langblock-Gruppen;Intent eigenständig, Content stark templated;Fensterdetails werden von generischen Hausverwaltung- und Angebotscheck-Blöcken überlagert
/duesseldorf/grundreinigung;308→/duesseldorf;https://www.floxant.de/duesseldorf;nach Follow: Hub-Title;nach Follow: Hub-H1;nach Follow: Hub-Meta;keine eigene Seite;Reinigung anfragen nach Follow;Hub-Canonical;redirect;nein;0 im 308;0;0;0;nein;0 eigener Content;fehlender Spezialintent;Pflicht-Spezialseite nicht erreichbar
/duesseldorf/unterhaltsreinigung;308→/duesseldorf;https://www.floxant.de/duesseldorf;nach Follow: Hub-Title;nach Follow: Hub-H1;nach Follow: Hub-Meta;keine eigene Seite;Reinigung anfragen nach Follow;Hub-Canonical;redirect;nein;0 im 308;0;0;0;nein;0 eigener Content;fehlender Spezialintent;Pflicht-Spezialseite nicht erreichbar
/duesseldorf/baureinigung;308→/duesseldorf;https://www.floxant.de/duesseldorf;nach Follow: Hub-Title;nach Follow: Hub-H1;nach Follow: Hub-Meta;keine eigene Seite;Reinigung anfragen nach Follow;Hub-Canonical;redirect;nein;0 im 308;0;0;0;nein;0 eigener Content;fehlender Spezialintent;Pflicht-Spezialseite nicht erreichbar
/duesseldorf/gewerbereinigung;200;https://www.floxant.de/duesseldorf/gewerbereinigung;Gewerbereinigung Düsseldorf: Objekt & Turnus | FLOXANT;Gewerbereinigung in Düsseldorf nach Objekt und Nutzung planen;Gewerbereinigung in Düsseldorf für Laden, Studio und Objektfläche. Nutzung, Fläche, Zeitfenster, Turnus, Zugang und Leistungsumfang angeben.;18 H2/46 Headings im Spezialtemplate;Gewerbereinigung in Düsseldorf anfragen;https://www.floxant.de/duesseldorf/gewerbereinigung;index,follow;ja;18;0;Oeffnungszeiten×1;Regensburg×1;ja: 1669 Wörter/46 Headings;28 geteilte Langblock-Gruppen;Intent eigenständig, Content stark templated;generische Hausverwaltung-, Solar- und Angebotscheck-Blöcke dominieren
/regensburg;200;https://www.floxant.de/regensburg;FLOXANT Regensburg: Umzug, Reinigung und Räumung anfragen;Umzug, Reinigung, Räumung und Übergabe in Regensburg anfragen;Regensburg-Anfrage für Umzug, Reinigung, Entrümpelung oder Übergabe: Start, Ziel, Objekt, Umfang, Fotos und Terminwunsch senden.;23 H2/166 Headings: Vorbereitung|Services|Entscheidungshilfe|Gebiet|FAQ|Standort|Finder|Pakete|Kombis|Trust|Beispiele|Tools|Vollkatalog;Fotos per WhatsApp senden;https://www.floxant.de/regensburg;index,follow;ja;116;Servicefit×1|Signature-Pakete×1|Proof×3;Aenderungen×1|Sonderfaelle×1|Kellerentruempelung×1;Düsseldorf×9;ja: 4868 Wörter/166 Headings;8 geteilte Langblock-Gruppen;Hub konkurriert mit fast allen Regensburg-Services;extreme Linkwand, falsche Düsseldorf-Überschrift, WhatsApp statt Anfrage als Haupt-CTA und interne Projekt-/Proof-Sprache
