"route","check","expected","actual","status"
"/duesseldorf/reinigung","STATIC_ROUTE","present","out\duesseldorf\reinigung.html","PASS"
"/duesseldorf/reinigung","CANONICAL","https://www.floxant.de/duesseldorf/reinigung","https://www.floxant.de/duesseldorf/reinigung","PASS"
"/duesseldorf/reinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/reinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/reinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/reinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/reinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/reinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/reinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/bueroreinigung","STATIC_ROUTE","present","out\duesseldorf\bueroreinigung.html","PASS"
"/duesseldorf/bueroreinigung","CANONICAL","https://www.floxant.de/duesseldorf/bueroreinigung","https://www.floxant.de/duesseldorf/bueroreinigung","PASS"
"/duesseldorf/bueroreinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/bueroreinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/bueroreinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/bueroreinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/bueroreinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/bueroreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/bueroreinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/praxisreinigung","STATIC_ROUTE","present","out\duesseldorf\praxisreinigung.html","PASS"
"/duesseldorf/praxisreinigung","CANONICAL","https://www.floxant.de/duesseldorf/praxisreinigung","https://www.floxant.de/duesseldorf/praxisreinigung","PASS"
"/duesseldorf/praxisreinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/praxisreinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/praxisreinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/praxisreinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/praxisreinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/praxisreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/praxisreinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/fensterreinigung","STATIC_ROUTE","present","out\duesseldorf\fensterreinigung.html","PASS"
"/duesseldorf/fensterreinigung","CANONICAL","https://www.floxant.de/duesseldorf/fensterreinigung","https://www.floxant.de/duesseldorf/fensterreinigung","PASS"
"/duesseldorf/fensterreinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/fensterreinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/fensterreinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/fensterreinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/fensterreinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/fensterreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/fensterreinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/grundreinigung","STATIC_ROUTE","present","out\duesseldorf\grundreinigung.html","PASS"
"/duesseldorf/grundreinigung","CANONICAL","https://www.floxant.de/duesseldorf/grundreinigung","https://www.floxant.de/duesseldorf/grundreinigung","PASS"
"/duesseldorf/grundreinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/grundreinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/grundreinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/grundreinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/grundreinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/grundreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/grundreinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/unterhaltsreinigung","STATIC_ROUTE","present","out\duesseldorf\unterhaltsreinigung.html","PASS"
"/duesseldorf/unterhaltsreinigung","CANONICAL","https://www.floxant.de/duesseldorf/unterhaltsreinigung","https://www.floxant.de/duesseldorf/unterhaltsreinigung","PASS"
"/duesseldorf/unterhaltsreinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/unterhaltsreinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/unterhaltsreinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/unterhaltsreinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/unterhaltsreinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/unterhaltsreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/unterhaltsreinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/baureinigung","STATIC_ROUTE","present","out\duesseldorf\baureinigung.html","PASS"
"/duesseldorf/baureinigung","CANONICAL","https://www.floxant.de/duesseldorf/baureinigung","https://www.floxant.de/duesseldorf/baureinigung","PASS"
"/duesseldorf/baureinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/baureinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/baureinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/baureinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/baureinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/baureinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/baureinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/treppenhausreinigung","STATIC_ROUTE","present","out\duesseldorf\treppenhausreinigung.html","PASS"
"/duesseldorf/treppenhausreinigung","CANONICAL","https://www.floxant.de/duesseldorf/treppenhausreinigung","https://www.floxant.de/duesseldorf/treppenhausreinigung","PASS"
"/duesseldorf/treppenhausreinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/treppenhausreinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/treppenhausreinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/treppenhausreinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/treppenhausreinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/treppenhausreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/treppenhausreinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/duesseldorf/gewerbereinigung","STATIC_ROUTE","present","out\duesseldorf\gewerbereinigung.html","PASS"
"/duesseldorf/gewerbereinigung","CANONICAL","https://www.floxant.de/duesseldorf/gewerbereinigung","https://www.floxant.de/duesseldorf/gewerbereinigung","PASS"
"/duesseldorf/gewerbereinigung","LOCATION_COPY","Düsseldorf present","present","PASS"
"/duesseldorf/gewerbereinigung","WRONG_LOCATION_COPY","Regensburg absent","absent","PASS"
"/duesseldorf/gewerbereinigung","BREADCRUMB","Düsseldorf breadcrumb","present","PASS"
"/duesseldorf/gewerbereinigung","CTA_AND_RELATED_LINKS","no /regensburg service links","none","PASS"
"/duesseldorf/gewerbereinigung","FAQ_LOCATION","Regensburg absent from page FAQ","clean","PASS"
"/duesseldorf/gewerbereinigung","SITEMAP_LOCATION","included once","1","PASS"
"/duesseldorf/gewerbereinigung","STRUCTURED_DATA_LOCATION","Düsseldorf only","Düsseldorf","PASS"
"/regensburg/reinigung","STATIC_ROUTE","present","out\regensburg\reinigung.html","PASS"
"/regensburg/reinigung","CANONICAL","https://www.floxant.de/regensburg/reinigung","https://www.floxant.de/regensburg/reinigung","PASS"
"/regensburg/reinigung","LOCATION_COPY","Regensburg present","present","PASS"
"/regensburg/reinigung","WRONG_LOCATION_COPY","Düsseldorf absent","absent","PASS"
"/regensburg/reinigung","BREADCRUMB","Regensburg breadcrumb","present","PASS"
"/regensburg/reinigung","CTA_AND_RELATED_LINKS","no /duesseldorf service links","none","PASS"
"/regensburg/reinigung","FAQ_LOCATION","Düsseldorf absent from page FAQ","clean","PASS"
"/regensburg/reinigung","SITEMAP_LOCATION","included once","1","PASS"
"/regensburg/reinigung","STRUCTURED_DATA_LOCATION","Regensburg only","Regensburg","PASS"
"/regensburg/bueroreinigung","STATIC_ROUTE","present","out\regensburg\bueroreinigung.html","PASS"
"/regensburg/bueroreinigung","CANONICAL","https://www.floxant.de/regensburg/bueroreinigung","https://www.floxant.de/regensburg/bueroreinigung","PASS"
"/regensburg/bueroreinigung","LOCATION_COPY","Regensburg present","present","PASS"
"/regensburg/bueroreinigung","WRONG_LOCATION_COPY","Düsseldorf absent","absent","PASS"
"/regensburg/bueroreinigung","BREADCRUMB","Regensburg breadcrumb","present","PASS"
"/regensburg/bueroreinigung","CTA_AND_RELATED_LINKS","no /duesseldorf service links","none","PASS"
"/regensburg/bueroreinigung","FAQ_LOCATION","Düsseldorf absent from page FAQ","clean","PASS"
"/regensburg/bueroreinigung","SITEMAP_LOCATION","included once","1","PASS"
"/regensburg/bueroreinigung","STRUCTURED_DATA_LOCATION","Regensburg only","Regensburg","PASS"
"/regensburg/gewerbereinigung","STATIC_ROUTE","present","out\regensburg\gewerbereinigung.html","PASS"
"/regensburg/gewerbereinigung","CANONICAL","https://www.floxant.de/regensburg/gewerbereinigung","https://www.floxant.de/regensburg/gewerbereinigung","PASS"
"/regensburg/gewerbereinigung","LOCATION_COPY","Regensburg present","present","PASS"
"/regensburg/gewerbereinigung","WRONG_LOCATION_COPY","Düsseldorf absent","absent","PASS"
