route,field,value,length,duplicateOf,status,note
/duesseldorf/reinigung,title,"Reinigung Düsseldorf | Wohnung, Büro & Praxis",45,,PASS,Unique and within the review range.
/duesseldorf/reinigung,description,"Reinigung in Düsseldorf für Wohnung, Büro, Praxis und Gewerbe. Objekt, Fläche, Turnus und Termin nennen und passende Leistung anfragen.",135,,PASS,Unique and within the review range.
/duesseldorf/reinigung,h1,"Reinigung in Düsseldorf – persönlich, verständlich und passend zu Ihrem Objekt",78,,PASS,Unique and within the review range.
/duesseldorf/reinigung,ogTitle,Reinigung in Düsseldorf passend zu Objekt und Umfang anfragen,61,,PASS,Unique and within the review range.
/duesseldorf/reinigung,ogDescription,"Reinigung für Wohnung, Büro, Praxis und Gewerbe in Düsseldorf mit Objektart, Fläche, Turnus und Termin anfragen.",112,,PASS,Unique and within the review range.
/duesseldorf/reinigung,canonical,https://www.floxant.de/duesseldorf/reinigung,44,,PASS,Expected https://www.floxant.de/duesseldorf/reinigung
/duesseldorf/reinigung,robots,"index, follow",13,,PASS,Priority public route must be indexable.
/duesseldorf/bueroreinigung,title,"Büroreinigung Düsseldorf | Fläche, Turnus & Zeiten",50,,PASS,Unique and within the review range.
/duesseldorf/bueroreinigung,description,"Büroreinigung in Düsseldorf anfragen: Fläche, Räume, Sanitär, Küche, Turnus, Zugang und Reinigungszeiten verständlich beschreiben.",130,,PASS,Unique and within the review range.
/duesseldorf/bueroreinigung,h1,Büroreinigung in Düsseldorf für Firmen klar anfragen,52,,PASS,Unique and within the review range.
/duesseldorf/bueroreinigung,ogTitle,"Büroreinigung Düsseldorf mit Fläche, Turnus und Zeiten anfragen",63,,PASS,Unique and within the review range.
/duesseldorf/bueroreinigung,ogDescription,"Bürofläche, Räume, Sanitär, Küche, Turnus, Zugang und Reinigungszeiten für eine klare Anfrage beschreiben.",106,,PASS,Unique and within the review range.
/duesseldorf/bueroreinigung,canonical,https://www.floxant.de/duesseldorf/bueroreinigung,49,,PASS,Expected https://www.floxant.de/duesseldorf/bueroreinigung
/duesseldorf/bueroreinigung,robots,"index, follow",13,,PASS,Priority public route must be indexable.
/duesseldorf/gewerbereinigung,title,Gewerbereinigung Düsseldorf | Objekt & Turnus,45,,PASS,Unique and within the review range.
/duesseldorf/gewerbereinigung,description,"Gewerbereinigung in Düsseldorf mit Objektart, Fläche, Nutzungszeiten, Turnus, Sonderflächen und Zugang konkret anfragen.",120,,PASS,Unique and within the review range.
/duesseldorf/gewerbereinigung,h1,Gewerbereinigung in Düsseldorf mit konkreten Eckdaten anfragen,62,,PASS,Unique and within the review range.
/duesseldorf/gewerbereinigung,ogTitle,Gewerbereinigung Düsseldorf nach Objekt und Nutzung anfragen,60,,PASS,Unique and within the review range.
/duesseldorf/gewerbereinigung,ogDescription,"Objektart, Fläche, Nutzungszeiten, Turnus, Sonderflächen und Zugang für Gewerbereinigung in Düsseldorf beschreiben.",115,,PASS,Unique and within the review range.
