issueCode,severity,status,serviceId,serviceName,route,details,recommendation
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,unterhaltsreinigung,Unterhaltsreinigung,/unterhaltsreinigung-regensburg,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,baureinigung,Bauendreinigung,/baureinigung-regensburg,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,seniorenumzug,Seniorenumzug,/regensburg/seniorenumzug,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,moebeltransport,Möbeltransport,/kleintransport-regensburg,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,klaviertransport,Klaviertransport,/klaviertransport-regensburg,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,beiladung-rueckfahrt,Beiladung und Rückfahrt,/rueckfahrt-boerse,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
INCONSISTENT_SERVICE_NAME,LOW,MANUAL_REVIEW,beiladung-rueckfahrt,Beiladung und Rückfahrt,/rueckfahrt-boerse,Die kanonische Seitenquelle enthält die Registry-Bezeichnung nicht direkt; bei Wrapper-Seiten kann sie aus einer Konfiguration stammen.,"Gerendertes H1, Title und sichtbare Servicebezeichnung manuell gegen die Registry prüfen."
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,kellerentruempelung,Kellerentrümpelung,/keller-muellraum-rettung-regensburg,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,haushaltsaufloesung,Haushaltsauflösung,/regensburg/haushaltsaufloesung,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,nachlassaufloesung,Nachlassauflösung,/nachlass-raeumung-regensburg,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
INCONSISTENT_SERVICE_NAME,LOW,MANUAL_REVIEW,nachlassaufloesung,Nachlassauflösung,/nachlass-raeumung-regensburg,Die kanonische Seitenquelle enthält die Registry-Bezeichnung nicht direkt; bei Wrapper-Seiten kann sie aus einer Konfiguration stammen.,"Gerendertes H1, Title und sichtbare Servicebezeichnung manuell gegen die Registry prüfen."
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,anbieter-vergleichen,FLOXANT Anbietervergleich,/anbieter-vergleichen,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,objektbrief,FLOXANT Objektbrief,/objektbrief,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,uebergabeakte,FLOXANT Übergabeakte,/uebergabeakte,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,plan-b-service,FLOXANT Plan-B-Service,/plan-b-service,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
PUBLIC_SERVICE_WITHOUT_ENGLISH_MAPPING,MEDIUM,MANUAL_REVIEW,diskret-service,FLOXANT Diskret-Service,/diskret-service,Keine vorhandene englische Alternativroute ist eindeutig zugeordnet.,Vorhandene echte englische Seite zuordnen; keine dünne Übersetzungs- oder Doorway-Seite erzeugen.
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,uebergabe-sprint,FLOXANT Übergabe-Sprint,/uebergabe-sprint,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,glasreinigung,Glasreinigung,/glasreinigung,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,solarreinigung,Solar- und PV-Anlagen-Reinigung,/pv-anlagen-reinigung,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,mini-umzug,Mini-Umzug,/mini-umzug,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,express-umzug,Express-Umzug,/express-umzug,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,fairpreis-check,FLOXANT Fairpreis-Check,/fairpreis-check,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,rueckfahrt-radar,FLOXANT Rückfahrt-Radar,/rueckfahrt-radar,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,vermieter-ready-service,FLOXANT Vermieter-Ready-Service,/vermieter-ready-service,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,buero-startklar-service,FLOXANT Büro-Startklar-Service,/regensburg/bueroreinigung,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,pv-sichtklar-service,FLOXANT PV-Sichtklar-Service,/pv-anlagen-reinigung,"Status MANUAL_REVIEW; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
UNREVIEWED_SERVICE_REFERENCE,MEDIUM,MANUAL_REVIEW,entscheidungs-kompass,FLOXANT Entscheidungs-Kompass,/signature-services,"Status ACTIVE_SUPPORTING; Route oder öffentliche Referenz ist vorhanden, die Leistungsfreigabe aber noch nicht abschließend geprüft.","Reale Verfügbarkeit, Abgrenzung und öffentliche Einordnung manuell bestätigen."
