"route","locale","inboundLinks","clickDepth","exists","orphan","wrongLanguageLinks","issues"
"/","de","1568","0","true","false","33","CROSS_LOCALE_INBOUND"
"/umzug","de","803","2","true","false","0",""
"/bueroumzug","de","210","3","true","false","0",""
"/firmenentsorgung","de","189","2","true","false","0",""
"/diskret-service","de","35","1","true","false","1","CROSS_LOCALE_INBOUND"
"/private-client-service","de","16","2","true","false","0",""
"/reinigung","de","1522","1","true","false","0",""
"/notfallreinigung-24h","de","2","","true","false","0","UNREACHABLE_FROM_HOME"
"/entruempelung","de","416","2","true","false","0",""
"/kleintransporte","de","18","3","true","false","0",""
"/solarreinigung","de","26","2","true","false","0",""
"/pv-anlagen-reinigung","de","21","2","true","false","0",""
"/regensburg/reinigung","de","1530","1","true","false","7","CROSS_LOCALE_INBOUND"
"/regensburg/solarreinigung","de","8","2","true","false","0",""
"/kellerentruempelung","de","8","2","true","false","0",""
"/nachlassaufloesung","de","9","2","true","false","0",""
"/lageraufloesung","de","8","2","true","false","0",""
"/mini-umzug","de","6","2","true","false","0",""
"/express-umzug","de","6","2","true","false","0",""
"/moebeltransport","de","6","2","true","false","0",""
"/fairpreis-check","de","38","2","true","false","0",""
"/uebergabe-sprint","de","24","2","true","false","0",""
"/vermieter-ready-service","de","6","2","true","false","0",""
"/rueckfahrt-radar","de","2","2","true","false","0",""
"/region-regensburg","de","10","2","true","false","0",""
"/angebot-pruefen","de","6","2","true","false","2","CROSS_LOCALE_INBOUND"
"/regensburg/reinigungsfirma","de","13","2","true","false","0",""
"/angebot-vergleichen-regensburg","de","49","2","true","false","1","CROSS_LOCALE_INBOUND"
"/regensburg/umzugsservice","de","6","2","true","false","0",""
"/regensburg/umzug-kosten","de","7","2","true","false","1","CROSS_LOCALE_INBOUND"
"/regensburg/seniorenumzug","de","10","2","true","false","0",""
"/regensburg/reinigung-nach-umzug","de","6","2","true","false","1","CROSS_LOCALE_INBOUND"
"/regensburg/angebot-vergleichen","de","25","2","true","false","8","CROSS_LOCALE_INBOUND"
"/en/regensburg/cleaning","en","33","1","true","false","0",""
"/en/regensburg/office-cleaning","en","8","1","true","false","0",""
"/en/regensburg/apartment-cleaning","en","7","1","true","false","0",""
"/en/regensburg/deep-cleaning","en","8","1","true","false","0",""
"/en/regensburg/move-out-cleaning","en","2","1","true","false","0",""
"/en/regensburg/stairwell-cleaning","en","8","1","true","false","0",""
"/en/regensburg/cleaning-quote-review","en","9","1","true","false","1","CROSS_LOCALE_INBOUND"
"/en/regensburg/moving","en","33","1","true","false","0",""
"/en/regensburg/moving-company","en","7","1","true","false","0",""
"/en/regensburg/moving-costs","en","8","1","true","false","1","CROSS_LOCALE_INBOUND"
"/en/regensburg/house-clearance","en","33","1","true","false","0",""
"/en/regensburg/cleaning-after-moving","en","10","1","true","false","1","CROSS_LOCALE_INBOUND"
"/en/regensburg/apartment-clearance","en","8","1","true","false","0",""
"/en/regensburg/moving-quote-review","en","8","1","true","false","0",""
"/en/duesseldorf/cleaning","en","9","1","true","false","0",""
"/en/duesseldorf/office-cleaning","en","9","1","true","false","0",""
"/en/duesseldorf/commercial-cleaning","en","7","1","true","false","0",""
"/en/duesseldorf/practice-cleaning","en","8","1","true","false","0",""
"/en/duesseldorf/window-cleaning","en","7","1","true","false","0",""
"/en/duesseldorf/cleaning-quote-review","en","8","1","true","false","0",""
"/umzug-bayern","de","37","3","true","false","0",""
"/umzug-landkreis-regensburg","de","4","3","true","false","0",""
"/bueroumzug-regensburg","de","18","2","true","false","0",""
"/seniorenumzug-landshut","de","1","2","true","false","0",""
"/reinigung-straubing","de","8","3","true","false","0",""
"/bueroumzug-bayern","de","13","3","true","false","0",""
"/entruempelung-bayern","de","18","3","true","false","0",""
"/entruempelung-kosten-regensburg","de","351","3","true","false","0",""
"/klaviertransport-regensburg","de","19","2","true","false","0",""
"/reinigung-abensberg","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-alteglofsheim","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-altenthann","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-aufhausen","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-bad-abbach","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-barbing","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-beratzhausen","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-bernhardswald","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-brennberg","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-brunn","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-burglengenfeld","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-deuerling","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-donaustauf","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-duggendorf","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-geiselhoering","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-hagelstadt","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-hausen","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-hemau","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-holzheim-am-forst","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-kallmuenz","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-kelheim","de","7","3","true","false","0",""
"/reinigung-koefering","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-laaber","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-langquaid","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-lappersdorf","de","7","3","true","false","0",""
"/reinigung-mainburg","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-mallersdorf-pfaffenberg","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-maxhuette-haidhof","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-mintraching","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-moetzing","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-neutraubling","de","7","3","true","false","0",""
"/reinigung-nittenau","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-nittendorf","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-obertraubling","de","7","3","true","false","0",""
"/reinigung-painten","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-pentling","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-pettendorf","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-pfatter","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-pielenhofen","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-regenstauf","de","7","3","true","false","0",""
"/reinigung-riedenburg","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-riekofen","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-roding","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-saal-an-der-donau","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-schierling","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-schwandorf","de","9","","true","false","0","UNREACHABLE_FROM_HOME"
"/reinigung-sinzing","de","6","","true","false","0","UNREACHABLE_FROM_HOME"
